TIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
European Union - 27 countries (from 2020),22450,22900,23100,23210,23710,24070,24820,25510,25590,24410,24900,25330,25110,25060,25430,25960,26410,27110,27620,28060,26450,28050,28950,28940
European Union - 28 countries (2013-2020),22990,23470,23710,23930,24430,24830,25570,26230,26250,25040,25520,25910,25750,25770,26180,26710,27140,27800,28270,28690,0,0,0,0
Euro area – 20 countries (from 2023),26240,26740,26850,26890,27360,27670,28440,29140,29120,27720,28240,28640,28330,28220,28560,29060,29510,30220,30690,31080,29150,30880,31800,31740
Euro area - 19 countries  (2015-2022),26490,26980,27090,27120,27590,27900,28670,29370,29340,27930,28460,28870,28560,28450,28790,29290,29740,30450,30910,31300,29360,31080,31990,31920
Belgium,29890,30110,30490,30680,31640,32200,32800,33760,33640,32700,33330,33460,33490,33490,33870,34360,34620,35050,35510,36110,34060,36250,37040,37260
Bulgaria,2990,3210,3420,3620,3870,4170,4480,4800,5120,4970,5080,5320,5390,5390,5470,5700,5910,6120,6330,6630,6400,6950,7680,7850
Czechia,11230,11620,11830,12260,12840,13650,14530,15250,15500,14690,15020,15310,15170,15160,15480,16290,16670,17490,17990,18460,17400,18020,18460,18370
Denmark,42190,42390,42430,42490,43520,44400,45990,46210,45700,43220,43840,44240,44170,44410,44890,45630,46720,47740,48450,48970,47680,50740,51660,52270
Germany,28910,29370,29290,29100,29470,29730,30930,31920,32320,30580,31940,33200,33280,33330,33920,34130,34610,35410,35650,35950,34550,35630,36010,35590
Estonia,7540,8040,8640,9350,10050,11070,12230,13230,12590,10770,11060,11890,12320,12540,12960,13230,13620,14410,14920,15450,15260,16350,16250,15370
Ireland,33280,34510,35910,36390,38190,39480,40390,41270,38580,36270,36710,37030,36830,37080,40070,49420,49730,53750,57610,59840,63120,72110,77430,72390
Greece,17430,18050,18690,19730,20670,20740,21840,22500,22370,21350,20150,18130,16940,16630,16830,16900,16890,17110,17430,17780,16150,17600,18690,19150
Spain,21460,22190,22430,22680,23020,23420,24000,24380,24200,23100,23040,22770,22080,21850,22220,23090,23780,24440,24890,25180,22260,23670,24810,25210
France,28930,29290,29410,29440,30050,30320,30850,31400,31310,30250,30690,31210,31160,31170,31320,31540,31770,32360,32800,33250,30630,32490,33180,33290
Croatia,7940,8510,8990,9500,9890,10310,10830,11380,11610,10780,10670,10700,10480,10480,10480,10810,11290,11800,12250,12740,11700,13610,14660,0
Italy,27430,27950,27960,27850,28040,28100,28490,28740,28250,26600,26940,27030,26160,25620,25620,25860,26240,26730,27030,27230,24910,27120,28250,28520
Cyprus,20130,20700,21230,21520,22300,23050,23740,24420,24680,23550,23460,22970,21840,20450,20310,21120,22410,23470,24500,25510,24350,26520,27480,27720
Latvia,5250,5650,6120,6700,7340,8210,9280,10280,10050,8760,8550,8940,9680,9980,10270,10760,11110,11590,12140,12300,11940,12870,13220,13220
Lithuania,5230,5620,6050,6740,7270,7960,8690,9770,10130,8720,9050,9820,10330,10810,11290,11620,12070,12760,13400,14060,14060,14870,15100,14840
Luxembourg,72530,73930,75500,76510,78660,79370,82860,88120,86330,82020,83550,82490,81940,82400,82590,82820,84750,84020,83390,84070,82030,86540,85850,83320
Hungary,7910,8250,8670,9050,9520,9950,10360,10410,10530,9850,9980,10190,10120,10330,10790,11220,11500,12020,12690,13310,12740,13690,14360,14370
Malta,13750,13480,13730,14200,14120,14510,14820,15470,15960,15660,16440,16450,16990,17680,18650,19960,20180,21760,22550,23190,20850,23330,24560,25160
Netherlands,35060,35610,35460,35350,35920,36570,37780,39120,39810,38160,38470,38880,38340,38180,38580,39170,39810,40730,41450,41980,40130,42390,43800,43420
